Rank,Song,Artist,Year,UnprunedLyricalComplexity,TotalWords,TitleInLyrics,posSent,negSent,compoundSent,repetitiveness
78,love is a hurtin thing,lou rawls,1966,,,,,,,
79,barbara ann,the beach boys,1966,39,94,True,0.107,0.0,0.8481,0.585
80,gloria,shadows of knight,1966,,,,,,,
81,my world is empty without you,the supremes,1966,78,177,True,0.114,0.186,-0.6932,0.559
82,rainy day women 12  35,bob dylan,1966,72,250,False,0.121,0.071,0.9426,0.712
83,guantanamera,the sandpipers,1966,38,83,True,0.0,0.0,0.0,0.542
84,land of 1000 dances,wilson pickett,1966,76,142,False,0.259,0.015,0.9886,0.465
85,oh how happy,the shades of blue,1966,55,185,True,0.388,0.024,0.9986,0.703
86,woman,peter and gordon,1966,70,168,True,0.132,0.05,0.9509,0.583
87,you baby,the turtles,1966,118,231,True,0.18,0.025,0.9837,0.489
88,five oclock world,the vogues,1966,96,170,True,0.077,0.067,0.1779,0.435
89,black is black,los bravos,1966,62,154,True,0.197,0.093,0.9657,0.597
90,nowhere man,the beatles,1966,63,165,True,0.026,0.102,-0.8731,0.618
91,dandy,hermans hermits,1966,99,169,True,0.039,0.033,0.2668,0.414
92,baby scratch my back,slim harpo,1966,48,69,True,0.103,0.0,0.8168,0.304
93,shes just my style,gary lewis  the playboys,1966,,,,,,,
94,the more i see you,chris montez,1966,44,72,True,0.112,0.115,-0.3116,0.389
95,i fought the law,bobby fuller four,1966,41,165,True,0.227,0.201,0.9204,0.752
96,yellow submarine,the beatles,1966,70,229,True,0.094,0.01,0.9552,0.694
97,hungry,paul revere  the raiders,1966,114,280,True,0.263,0.04,0.9974,0.593
98,zorba the greek,herb alpert and the tijuana brass,1966,,,,,,,
99,shapes of things,the yardbirds,1966,75,124,True,0.139,0.054,0.9054,0.395
100,6345789 soulsville usa,wilson pickett,1966,,,,,,,
1,to sir with love,lulu,1967,95,140,True,0.168,0.079,0.953,0.321
2,the letter,the box tops,1967,54,179,False,0.022,0.073,-0.8339,0.698
3,ode to billie joe,bobbie gentry,1967,162,279,False,0.062,0.042,0.7003,0.419
4,windy,the association,1967,48,230,True,0.0,0.025,-0.6808,0.791
5,im a believer,the monkees,1967,70,164,True,0.286,0.108,0.9882,0.573
6,light my fire,the doors,1967,79,177,False,0.132,0.012,0.9607,0.554
7,somethin stupid,frank  nancy sinatra,1967,97,174,False,0.113,0.089,0.5346,0.443
8,happy together,the turtles,1967,67,235,True,0.269,0.049,0.9974,0.715
9,groovin,the young rascals,1967,81,135,True,0.123,0.155,0.0181,0.4
10,cant take my eyes off you,frankie valli,1967,88,277,True,0.388,0.027,0.9992,0.682
11,little bit o soul,the music explosion,1967,80,157,True,0.106,0.049,0.7668,0.49
12,i think were alone now,tommy james and the shondells,1967,67,96,False,0.266,0.025,0.9726,0.302
13,respect,aretha franklin,1967,83,312,True,0.124,0.039,0.9641,0.734
14,i was made to love her,stevie wonder,1967,119,262,True,0.347,0.02,0.9989,0.546
15,come back when you grow up,bobby vee,1967,77,232,True,0.112,0.102,0.6821,0.668
16,kind of a drag,the buckinghams,1967,,,,,,,
17,sweet soul music,arthur conley,1967,66,158,True,0.241,0.018,0.9875,0.582
